"Qty";"Value";"Device";"Package";"Parts";"Description";"FREQUENCY";"MF";"MPN";"OC_FARNELL";"OC_MOUSER";"OC_NEWARK";"PROD_ID";"VALUE";
"2";"";"JUMPER-2SMD-NO";"SJ_2S-NO";"JP1, JP2";"Jumper";"";"";"";"";"";"";"";"";
"1";"0.01";"C-EUC0603";"C0603";"C19";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"11";"0.1";"C-EUC0603";"C0603";"C1, C4, C5, C6, C7, C8, C9, C12, C13, C16, C17";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"0.33";"C-EUC0603";"C0603";"C15";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"3";"1.0";"C-EUC0805";"C0805";"C10, C11, C18";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"1.5k";"R-EU_R0603";"R0603";"R7";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"6";"10k";"R-EU_R0603";"R0603";"R1, R10, R11, R14, R15, R18";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"5";"10k 1%";"R-EU_R0805";"R0805";"R4, R5, R6, R12, R16";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"3";"140";"R-EU_R0603";"R0603";"R2, R3, R9";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"1k";"R-EU_R0603";"R0603";"R8";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"22p";"C-EUC0603";"C0603";"C14";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"2PT_GND_TIE";"2PT_GND_TIE";"2PT_GND_TIE";"PT1";"Package for connecting two ground nets in one place.";"";"";"";"";"";"";"";"";
"2";"6p";"C-EUC0603";"C0603";"C2, C3";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"750";"R-EU_R0603";"R0603";"R19";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
"1";"B4B-XH-A";"IGN_POWER-B4B-XH-A";"B4B-XH";"XP6";"JST XH CONNECTOR";"";"";"";"";"";"";"";"";
"1";"B4B-XH-A";"UART-B4B-XH-A";"B4B-XH";"XP5";"JST XH CONNECTOR";"";"";"";"";"";"";"";"";
"1";"B6B-XH-A";"SENSORS-B6B-XH-A";"B6B-XH";"XP4";"JST XH CONNECTOR";"";"";"";"";"";"";"";"";
"1";"BAT54C";"BAT54C";"SOT23";"VD1";"Schottky Diodes";"";"";"";"";"";"";"";"";
"1";"BSS123LT1G";"MOSFET-NCHANNELBSS123LT1G";"SOT23";"VT1";"Common NMOSFET Parts";"";"";"";"";"";"";"TRANS-08345";"";
"1";"CSTCE8M00G52-R0";"CSTCE8M00G52-R0";"CSTCE";"ZQ2";"Resonator";"8 MHz";"";"";"";"81-CSTCE8M00G52-R0";"";"";"";
"3";"FB";"FB";"0603";"L1, L2, L3";"";"";"";"";"";"";"";"";"";
"1";"FC-12M";"FC-12M";"FC-12M";"ZQ1";"kHz RANGE CRYSTAL UNIT";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED-GREEN0603";"LED-0603";"HL1";"Various green LEDs";"";"";"";"";"";"";"DIO-00821";"GREEN";
"1";"ISO7221A";"ISO7221A";"SO-08";"DD3";"DUAL DIGITAL ISOLATORS";"";"";"ISO7221AD";"1390651";"";"48M0672";"";"";
"1";"M05X2NO_SILK";"M05X2NO_SILK";"2X5_NOSILK";"XP2";"Header 5x2";"";"";"";"";"";"";"";"";
"1";"MCP1703";"MCP1700SOT-23";"SOT23";"DA1";"VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"1";"MINIECU_LOGO";"MINIECU_LOGO";"MINIECU_LOGO";"LOGO1";"Logo imported from bmp.";"";"";"";"";"";"";"";"";
"4";"MOUNT-HOLE3.2";"MOUNT-HOLE3.2";"3,2";"H1, H2, H3, H4";"MOUNTING HOLE with drill center marker";"";"";"";"";"";"";"";"";
"1";"MP3V5004DP";"MPXV7025DP";"SOP8-1351";"DA3";"PRESSURE SENSOR - Differential Input, Single-Ended Output";"";"";"";"";"";"";"";"";
"1";"OSHW-LOGOL";"OSHW-LOGOL";"OSHW-LOGO-L";"LOGO2";"Open Source Hardware Logo This logo indicates the piece of hardware it is found on incorporates a OSHW license and/or adheres to the definition of open source hardware found here: http://freedomdefined.org/OSHW";"";"";"";"";"";"";"";"";
"1";"RED";"LED-RED0603";"LED-0603";"HL2";"Assorted Red LEDs";"";"";"";"";"";"";"DIO-00819";"RED";
"1";"SPI_FLASH-X25XXSMD1";"SPI_FLASH-X25XXSMD1";"SO08-EIAJ";"DD2";"8pin SPI Flash series x25xx. Works with devices like W25X32 and BR25L32";"";"";"";"";"";"";"";"";
"1";"STM32F373C";"STM32F373C";"LQFP48";"DD1";"STM32F373";"";"";"";"";"";"";"";"";
"1";"SWD";"SWD";"1X04-1.27MM";"XP1";"";"";"";"";"";"";"";"";"";
"2";"USBLC6-2L";"USBLC6-2SC6";"SOT-23-6L";"VD2, VD3";"VERY LOW CAPACITANCE ESD PROTECTION 2 line";"";"";"";"";"";"";"";"";
"1";"USB_MICROB_PLUGCONN-11752";"USB_MICROB_PLUGCONN-11752";"USB-B-MICRO-SMD_V03";"XP3";"USB Micro-B Plug";"";"";"";"";"";"";"CONN-11752";"";
"1";"VN5E025AJ-E";"VN5E025AJ-E";"POWERSSO-12";"DA2";"Single channel high-side driver with analog current sense";"";"";"";"";"";"";"";"";
"2";"np";"R-EU_R0805";"R0805";"R13, R17";"RESISTOR, European symbol";"";"";"";"";"";"";"";"";
